--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3333000.0 , y= 500.0 , lat= -60.0017601562641 , lon= -89.99140477361486
x= -3332500.0 , y= -0.1500375093773414 , lat= -60.00606514472722 , lon= -90.00000257959972
x= -3332000.0 , y= -500.3000750187547 , lat= -60.01036957060453 , lon= -90.00860296595836
x= -3331500.0 , y= -1000.450112528132 , lat= -60.01467343355791 , lon= -90.01720593346485
x= -3331000.0 , y= -1500.6001500375094 , lat= -60.01897673324909 , lon= -90.02581148289329
x= -3330500.0 , y= -2000.7501875468865 , lat= -60.023279469339705 , lon= -90.03441961501773
x= -3330000.0 , y= -2500.900225056264 , lat= -60.027581641491224 , lon= -90.04303033061225
x= -3329500.0 , y= -3001.0502625656413 , lat= -60.03188324936497 , lon= -90.0516436304509
x= -3329000.0 , y= -3501.2003000750187 , lat= -60.03618429262212 , lon= -90.06025951530778
x= -3328500.0 , y= -4001.3503375843957 , lat= -60.04048477092377 , lon= -90.0688779859569
x= -3328000.0 , y= -4501.500375093773 , lat= -60.04478468393077 , lon= -90.07749904317235
x= -3327500.0 , y= -5001.6504126031505 , lat= -60.049084031303934 , lon= -90.0861226877282
x= -3327000.0 , y= -5501.800450112528 , lat= -60.05338281270386 , lon= -90.09474892039846
x= -3326500.0 , y= -6001.950487621905 , lat= -60.05768102779106 , lon= -90.10337774195722
x= -3326000.0 , y= -6502.100525131283 , lat= -60.06197867622588 , lon= -90.11200915317849
x= -3325500.0 , y= -7002.25056264066 , lat= -60.066275757668485 , lon= -90.12064315483632
x= -3325000.0 , y= -7502.4006001500375 , lat= -60.070572271778985 , lon= -90.12927974770469
x= -3324500.0 , y= -8002.550637659415 , lat= -60.074868218217276 , lon= -90.1379189325577
x= -3324000.0 , y= -8502.700675168791 , lat= -60.07916359664314 , lon= -90.14656071016933
x= -3323500.0 , y= -9002.85071267817 , lat= -60.08345840671625 , lon= -90.15520508131357
x= -3323000.0 , y= -9503.000750187546 , lat= -60.08775264809606 , lon= -90.16385204676445
x= -3322500.0 , y= -10003.150787696924 , lat= -60.09204632044194 , lon= -90.17250160729594
x= -3322000.0 , y= -10503.300825206301 , lat= -60.09633942341312 , lon= -90.18115376368205
x= -3321500.0 , y= -11003.45086271568 , lat= -60.10063195666867 , lon= -90.18980851669676
x= -3321000.0 , y= -11503.600900225056 , lat= -60.104923919867524 , lon= -90.198465867114
x= -3320500.0 , y= -12003.750937734434 , lat= -60.10921531266849 , lon= -90.20712581570774
