--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
/homes/lchen2/project/OISSTv2.1_NOAA/ancillary/NSIDC_mask/code/nsidc0756/xy2ll.py:56: RuntimeWarning: overflow encountered in int_scalars
  rho = np.sqrt(x**2 + y**2)
/homes/lchen2/project/OISSTv2.1_NOAA/ancillary/NSIDC_mask/code/nsidc0756/xy2ll.py:56: RuntimeWarning: invalid value encountered in sqrt
  rho = np.sqrt(x**2 + y**2)
x= -3333000 , y= 3333000 , lat= nan , lon= -45.0
x= -3332500 , y= 3332500 , lat= -89.60558042160586 , lon= -45.0
x= -3332000 , y= 3332000 , lat= nan , lon= -45.0
x= -3331500 , y= 3331500 , lat= -89.65643744971094 , lon= -45.0
x= -3331000 , y= 3331000 , lat= nan , lon= -45.0
x= -3330500 , y= 3330500 , lat= -89.71567215534066 , lon= -45.0
x= -3330000 , y= 3330000 , lat= nan , lon= -45.0
x= -3329500 , y= 3329500 , lat= -89.79026659930824 , lon= -45.0
x= -3329000 , y= 3329000 , lat= nan , lon= -45.0
x= -3328500 , y= 3328500 , lat= -89.9135560414979 , lon= -45.0
x= -3328000 , y= 3328000 , lat= -89.58618806147564 , lon= -45.0
x= -3327500 , y= 3327500 , lat= nan , lon= -45.0
x= -3327000 , y= 3327000 , lat= -89.63225899371132 , lon= -45.0
x= -3326500 , y= 3326500 , lat= nan , lon= -45.0
x= -3326000 , y= 3326000 , lat= -89.68446036635508 , lon= -45.0
x= -3325500 , y= 3325500 , lat= nan , lon= -45.0
x= -3325000 , y= 3325000 , lat= -89.74655224980161 , lon= -45.0
x= -3324500 , y= 3324500 , lat= nan , lon= -45.0
x= -3324000 , y= 3324000 , lat= -89.82898843242643 , lon= -45.0
x= -3323500 , y= 3323500 , lat= nan , lon= -45.0
x= -3323000 , y= 3323000 , lat= nan , lon= -45.0
x= -3322500 , y= 3322500 , lat= -89.60088530299711 , lon= -45.0
x= -3322000 , y= 3322000 , lat= nan , lon= -45.0
x= -3321500 , y= 3321500 , lat= -89.64623583144507 , lon= -45.0
x= -3321000 , y= 3321000 , lat= nan , lon= -45.0
x= -3320500 , y= 3320500 , lat= -89.69776775320187 , lon= -45.0
x= -3320000 , y= 3320000 , lat= nan , lon= -45.0
x= -3319500 , y= 3319500 , lat= -89.75942095505886 , lon= -45.0
x= -3319000 , y= 3319000 , lat= nan , lon= -45.0
x= -3318500 , y= 3318500 , lat= -89.84267572390898 , lon= -45.0
x= -3318000 , y= 3318000 , lat= nan , lon= -45.0
x= -3317500 , y= 3317500 , lat= nan , lon= -45.0
x= -3317000 , y= 3317000 , lat= -89.60301920499934 , lon= -45.0
x= -3316500 , y= 3316500 , lat= nan , lon= -45.0
x= -3316000 , y= 3316000 , lat= -89.64600317547634 , lon= -45.0
x= -3315500 , y= 3315500 , lat= nan , lon= -45.0
x= -3315000 , y= 3315000 , lat= -89.69443092041058 , lon= -45.0
x= -3314500 , y= 3314500 , lat= nan , lon= -45.0
x= -3314000 , y= 3314000 , lat= -89.75146451632207 , lon= -45.0
x= -3313500 , y= 3313500 , lat= nan , lon= -45.0
x= -3313000 , y= 3313000 , lat= -89.82534025180415 , lon= -45.0
x= -3312500 , y= 3312500 , lat= nan , lon= -45.0
x= -3312000 , y= 3312000 , lat= nan , lon= -45.0
x= -3311500 , y= 3311500 , lat= -89.59239239916134 , lon= -45.0
x= -3311000 , y= 3311000 , lat= nan , lon= -45.0
x= -3310500 , y= 3310500 , lat= -89.63158794581163 , lon= -45.0
x= -3310000 , y= 3310000 , lat= nan , lon= -45.0
x= -3309500 , y= 3309500 , lat= -89.67496208142077 , lon= -45.0
x= -3309000 , y= 3309000 , lat= nan , lon= -45.0
x= -3308500 , y= 3308500 , lat= -89.72448125332609 , lon= -45.0
x= -3308000 , y= 3308000 , lat= nan , lon= -45.0
x= -3307500 , y= 3307500 , lat= -89.78433767510407 , lon= -45.0
x= -3307000 , y= 3307000 , lat= nan , lon= -45.0
x= -3306500 , y= 3306500 , lat= -89.86790674787177 , lon= -45.0
x= -3306000 , y= 3306000 , lat= nan , lon= -45.0
x= -3305500 , y= 3305500 , lat= nan , lon= -45.0
x= -3305000 , y= 3305000 , lat= -89.60453808596603 , lon= -45.0
x= -3304500 , y= 3304500 , lat= nan , lon= -45.0
x= -3304000 , y= 3304000 , lat= -89.64198344652227 , lon= -45.0
x= -3303500 , y= 3303500 , lat= nan , lon= -45.0
x= -3303000 , y= 3303000 , lat= -89.68329775203338 , lon= -45.0
x= -3302500 , y= 3302500 , lat= nan , lon= -45.0
x= -3302000 , y= 3302000 , lat= -89.73025287374864 , lon= -45.0
x= -3301500 , y= 3301500 , lat= nan , lon= -45.0
x= -3301000 , y= 3301000 , lat= -89.78653934776608 , lon= -45.0
x= -3300500 , y= 3300500 , lat= nan , lon= -45.0
x= -3300000 , y= 3300000 , lat= -89.86322964373022 , lon= -45.0
x= -3299500 , y= 3299500 , lat= nan , lon= -45.0
x= -3299000 , y= 3299000 , lat= nan , lon= -45.0
x= -3298500 , y= 3298500 , lat= -89.59881300237124 , lon= -45.0
x= -3298000 , y= 3298000 , lat= nan , lon= -45.0
x= -3297500 , y= 3297500 , lat= -89.63265953683928 , lon= -45.0
x= -3297000 , y= 3297000 , lat= nan , lon= -45.0
x= -3296500 , y= 3296500 , lat= -89.66944626728157 , lon= -45.0
x= -3296000 , y= 3296000 , lat= nan , lon= -45.0
x= -3295500 , y= 3295500 , lat= -89.71029105532364 , lon= -45.0
x= -3295000 , y= 3295000 , lat= nan , lon= -45.0
x= -3294500 , y= 3294500 , lat= -89.75723359866303 , lon= -45.0
x= -3294000 , y= 3294000 , lat= nan , lon= -45.0
x= -3293500 , y= 3293500 , lat= -89.8148553763482 , lon= -45.0
x= -3293000 , y= 3293000 , lat= nan , lon= -45.0
x= -3292500 , y= 3292500 , lat= -89.9001987313992 , lon= -45.0
x= -3292000 , y= 3292000 , lat= -89.57594035558351 , lon= -45.0
x= -3291500 , y= 3291500 , lat= nan , lon= -45.0
x= -3291000 , y= 3291000 , lat= -89.60501024911274 , lon= -45.0
x= -3290500 , y= 3290500 , lat= nan , lon= -45.0
x= -3290000 , y= 3290000 , lat= -89.63593135256971 , lon= -45.0
x= -3289500 , y= 3289500 , lat= nan , lon= -45.0
x= -3289000 , y= 3289000 , lat= -89.66922240923228 , lon= -45.0
x= -3288500 , y= 3288500 , lat= nan , lon= -45.0
x= -3288000 , y= 3288000 , lat= -89.70568654612164 , lon= -45.0
x= -3287500 , y= 3287500 , lat= nan , lon= -45.0
x= -3287000 , y= 3287000 , lat= -89.74669037515717 , lon= -45.0
x= -3286500 , y= 3286500 , lat= nan , lon= -45.0
x= -3286000 , y= 3286000 , lat= -89.79493930778828 , lon= -45.0
x= -3285500 , y= 3285500 , lat= nan , lon= -45.0
x= -3285000 , y= 3285000 , lat= -89.85761750219609 , lon= -45.0
x= -3284500 , y= 3284500 , lat= nan , lon= -45.0
x= -3284000 , y= 3284000 , lat= nan , lon= -45.0
x= -3283500 , y= 3283500 , lat= -89.58751867200984 , lon= -45.0
x= -3283000 , y= 3283000 , lat= nan , lon= -45.0
x= -3282500 , y= 3282500 , lat= -89.61372156249404 , lon= -45.0
x= -3282000 , y= 3282000 , lat= nan , lon= -45.0
x= -3281500 , y= 3281500 , lat= -89.64136371522197 , lon= -45.0
x= -3281000 , y= 3281000 , lat= nan , lon= -45.0
x= -3280500 , y= 3280500 , lat= -89.67080749034702 , lon= -45.0
x= -3280000 , y= 3280000 , lat= nan , lon= -45.0
x= -3279500 , y= 3279500 , lat= -89.70258748472148 , lon= -45.0
x= -3279000 , y= 3279000 , lat= nan , lon= -45.0
x= -3278500 , y= 3278500 , lat= -89.73755100642322 , lon= -45.0
