--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3333000.0 , y= 3333000.0 , lat= -48.46519084356719 , lon= -45.0
x= -3332500.0 , y= 3332500.0 , lat= -48.470907114323204 , lon= -45.0
x= -3332000.0 , y= 3332000.0 , lat= -48.4766235949753 , lon= -45.0
x= -3331500.0 , y= 3331500.0 , lat= -48.48234028550671 , lon= -45.0
x= -3331000.0 , y= 3331000.0 , lat= -48.48805718590069 , lon= -45.0
x= -3330500.0 , y= 3330500.0 , lat= -48.49377429614046 , lon= -45.0
x= -3330000.0 , y= 3330000.0 , lat= -48.49949161620926 , lon= -45.0
x= -3329500.0 , y= 3329500.0 , lat= -48.50520914609032 , lon= -45.0
x= -3329000.0 , y= 3329000.0 , lat= -48.51092688576685 , lon= -45.0
x= -3328500.0 , y= 3328500.0 , lat= -48.51664483522206 , lon= -45.0
x= -3328000.0 , y= 3328000.0 , lat= -48.52236299443917 , lon= -45.0
x= -3327500.0 , y= 3327500.0 , lat= -48.52808136340138 , lon= -45.0
x= -3327000.0 , y= 3327000.0 , lat= -48.533799942091896 , lon= -45.0
x= -3326500.0 , y= 3326500.0 , lat= -48.5395187304939 , lon= -45.0
x= -3326000.0 , y= 3326000.0 , lat= -48.54523772859059 , lon= -45.0
x= -3325500.0 , y= 3325500.0 , lat= -48.55095693636515 , lon= -45.0
x= -3325000.0 , y= 3325000.0 , lat= -48.556676353800746 , lon= -45.0
x= -3324500.0 , y= 3324500.0 , lat= -48.56239598088056 , lon= -45.0
x= -3324000.0 , y= 3324000.0 , lat= -48.56811581758777 , lon= -45.0
x= -3323500.0 , y= 3323500.0 , lat= -48.57383586390553 , lon= -45.0
x= -3323000.0 , y= 3323000.0 , lat= -48.579556119816985 , lon= -45.0
x= -3322500.0 , y= 3322500.0 , lat= -48.585276585305316 , lon= -45.0
x= -3322000.0 , y= 3322000.0 , lat= -48.59099726035364 , lon= -45.0
x= -3321500.0 , y= 3321500.0 , lat= -48.59671814494512 , lon= -45.0
x= -3321000.0 , y= 3321000.0 , lat= -48.60243923906289 , lon= -45.0
x= -3320500.0 , y= 3320500.0 , lat= -48.60816054269008 , lon= -45.0
x= -3320000.0 , y= 3320000.0 , lat= -48.61388205580983 , lon= -45.0
x= -3319500.0 , y= 3319500.0 , lat= -48.61960377840522 , lon= -45.0
x= -3319000.0 , y= 3319000.0 , lat= -48.6253257104594 , lon= -45.0
x= -3318500.0 , y= 3318500.0 , lat= -48.631047851955486 , lon= -45.0
x= -3318000.0 , y= 3318000.0 , lat= -48.63677020287657 , lon= -45.0
x= -3317500.0 , y= 3317500.0 , lat= -48.64249276320575 , lon= -45.0
x= -3317000.0 , y= 3317000.0 , lat= -48.64821553292614 , lon= -45.0
x= -3316500.0 , y= 3316500.0 , lat= -48.65393851202081 , lon= -45.0
x= -3316000.0 , y= 3316000.0 , lat= -48.65966170047285 , lon= -45.0
x= -3315500.0 , y= 3315500.0 , lat= -48.665385098265354 , lon= -45.0
x= -3315000.0 , y= 3315000.0 , lat= -48.67110870538139 , lon= -45.0
x= -3314500.0 , y= 3314500.0 , lat= -48.67683252180402 , lon= -45.0
x= -3314000.0 , y= 3314000.0 , lat= -48.68255654751632 , lon= -45.0
x= -3313500.0 , y= 3313500.0 , lat= -48.68828078250134 , lon= -45.0
x= -3313000.0 , y= 3313000.0 , lat= -48.694005226742135 , lon= -45.0
x= -3312500.0 , y= 3312500.0 , lat= -48.699729880221774 , lon= -45.0
x= -3312000.0 , y= 3312000.0 , lat= -48.70545474292328 , lon= -45.0
